session_id,lap,lap_time_s,lap_dist_m,max_speed_mph,avg_speed_mph,max_rpm,max_lat_g,max_accel_g,max_decel_g,pct_wot,avg_throttle,pct_braking,coolant_min_f,coolant_max_f,iat_min_f,iat_max_f,is_clean,clean_reason
20260517-100304,0,406.844,3962.0,70.836,2.1732165694940755,7016,0.38,0.42,0.13,0.007429001316531879,0.14113217813859186,0.8406996426556329,188.6,204.8,86.0,145.4,False,warmup
20260517-100304,1,129.569,3962.0,109.983,68.8147314709236,7795,1.18,0.49,1.03,0.346636259977195,0.5505410771046702,0.18814139110604333,190.4,199.4,68.0,91.4,True,
20260517-100304,2,121.621,3962.0,126.138,73.34702666666666,7852,1.44,0.45,1.05,0.3621212121212121,0.5747391034992706,0.22272727272727272,195.8,203.0,68.0,75.2,True,
20260517-100304,3,126.895,3962.0,124.274,70.10735124927368,7819,1.83,0.41,0.91,0.18041836141778037,0.4458805908265463,0.21237652527600231,199.4,204.8,68.0,75.2,True,
20260517-100304,4,131.002,3962.0,106.876,67.90679174908166,7849,1.33,0.41,0.88,0.16077988132240745,0.430024254435595,0.15710652726758972,199.4,204.8,68.0,75.2,True,
20260517-100304,5,132.389,3962.0,109.983,67.20642648299128,7819,1.16,0.41,0.8,0.14141130165870117,0.41042100656006164,0.17599100365476525,199.4,204.8,68.0,75.2,True,
20260517-100304,6,121.606,3962.0,125.517,73.19159278350516,7844,1.57,0.39,0.99,0.31109763493026077,0.5378877210766505,0.20406306852637962,201.2,204.8,68.0,75.2,True,
20260517-100304,7,128.536,3962.0,124.896,69.16539703315881,7693,1.53,0.4,0.8,0.18964514252472367,0.4305907006264026,0.19604421175101802,203.0,204.8,68.0,75.2,True,
20260517-100304,8,122.389,3962.0,125.517,72.94204320432043,7875,1.42,0.41,0.98,0.33183318331833184,0.5636545309839843,0.21152115211521152,201.2,204.8,66.2,73.4,True,
20260517-100304,9,121.286,3962.0,125.517,73.40970180262755,7878,1.41,0.48,0.99,0.38802322028719827,0.5850351977519862,0.22028719828903148,201.2,204.8,68.0,73.4,True,
20260517-100304,10,126.41,3962.0,126.138,70.46829392783808,7537,1.43,0.38,0.94,0.19917864476386038,0.4542277495832511,0.22381930184804927,203.0,204.8,68.0,75.2,True,
20260517-100304,11,212.87,3961.9999999999995,99.419,39.52904476021315,7031,1.3,0.29,0.71,0.004262877442273535,0.22308838395571878,0.3204262877442274,199.4,204.8,69.8,84.2,False,cooldown
