session_id,lap,lap_time_s,lap_dist_m,max_speed_mph,avg_speed_mph,max_rpm,max_lat_g,max_accel_g,max_decel_g,pct_wot,avg_throttle,pct_braking,coolant_min_f,coolant_max_f,iat_min_f,iat_max_f,is_clean,clean_reason
20240829-132325,0,120.831,3198.0,94.448,13.540144197685331,7785,0.22,0.2,0.53,0.03534563653425086,0.21023254864676416,0.035032843290584925,186.8,204.8,105.8,140.0,False,warmup
20240829-132325,1,103.478,3198.0,118.061,69.34095009107467,7514,1.25,0.93,0.5,0.2983606557377049,0.492392373086261,0.14899817850637523,188.6,195.8,100.4,113.0,True,
20240829-132325,2,98.627,3198.0,119.925,72.40146519589197,7339,1.3,1.06,0.69,0.2807151007987828,0.5265565010038293,0.17497147204260174,195.8,201.2,100.4,107.6,True,
20240829-132325,3,97.464,3198.0,118.682,73.46562982998454,7487,1.16,1.0,0.6,0.46020092735703244,0.6188205397747104,0.1750386398763524,201.2,204.8,102.2,105.8,True,
20240829-132325,4,94.937,3198.0,119.925,75.44849346534653,7852,1.27,1.02,0.5,0.4875247524752475,0.6419671777296692,0.1805940594059406,204.8,210.2,102.2,105.8,True,
20240829-132325,5,98.869,3198.0,119.925,72.49632846441948,7398,1.23,0.95,0.51,0.23183520599250937,0.5012553844100596,0.1846441947565543,210.2,210.2,102.2,107.6,True,
20240829-132325,6,98.113,3198.0,113.09,73.04233156498674,7485,1.19,0.85,0.61,0.3145130731337628,0.5314505297353169,0.17582417582417584,210.2,212.0,102.2,107.6,True,
20240829-132325,7,97.275,3198.0,118.682,73.75830170777989,7773,1.19,0.97,0.52,0.40721062618595827,0.5824934105094719,0.177988614800759,210.2,212.0,102.2,107.6,True,
20240829-132325,8,98.001,3198.0,119.925,72.65927100681301,7883,1.18,1.19,0.53,0.4765329295987888,0.6385433953397281,0.18243754731264195,210.2,212.0,102.2,107.6,True,
20240829-132325,9,94.724,3198.0,119.925,75.31453825242718,7769,1.3,0.95,0.65,0.4912621359223301,0.6383105841956457,0.1833009708737864,210.2,212.0,102.2,107.6,True,
20240829-132325,10,94.481,3198.0,118.682,76.10865938353493,7660,1.34,1.0,0.51,0.4927818962153726,0.6394653405559839,0.17713616855247757,212.0,213.8,102.2,107.6,True,
20240829-132325,11,94.023,3198.0,119.303,75.96539357114857,7862,1.41,0.98,0.55,0.48725989807918463,0.6240916831124609,0.1760094080752646,212.0,213.8,102.2,107.6,True,
20240829-132325,12,95.978,3198.0000000000005,118.682,74.31509284627093,7989,1.29,0.96,0.62,0.3515981735159817,0.5448337389249388,0.16666666666666666,212.0,215.6,102.2,107.6,True,
20240829-132325,13,183.315,3198.0,91.963,35.06951872964169,5043,1.11,0.56,0.36,0.004682410423452769,0.188388898195181,0.12561074918566775,204.8,213.8,105.8,116.6,False,cooldown
