session_id,lap,lap_time_s,lap_dist_m,max_speed_mph,avg_speed_mph,max_rpm,max_lat_g,max_accel_g,max_decel_g,pct_wot,avg_throttle,pct_braking,coolant_min_f,coolant_max_f,iat_min_f,iat_max_f,is_clean,clean_reason
20250522-101214,0,742.395,3197.9999999999995,105.012,2.2482846787316926,7635,0.19,0.14,0.48,0.014103259529562602,0.13670808479252217,0.8108881108535924,188.6,199.4,78.8,123.8,False,warmup
20250522-101214,1,98.488,3198.0,122.41,72.41931918819189,7450,1.12,0.96,0.58,0.44686346863468634,0.6016586569070138,0.19335793357933578,192.2,195.8,73.4,86.0,True,
20250522-101214,2,96.401,3198.0,124.274,74.51124896108803,7983,1.22,1.03,0.98,0.5160559123536078,0.6429097310756416,0.19040423120513789,192.2,197.6,71.6,78.8,True,
20250522-101214,3,93.577,3198.0,124.274,75.89074249422633,7647,1.47,1.16,0.64,0.5019245573518091,0.6433096431619224,0.1901462663587375,195.8,199.4,71.6,77.0,True,
20250522-101214,4,93.63,3198.0,123.032,76.09666098411468,8052,1.27,1.04,0.64,0.4614490507555211,0.6237101011932081,0.19062378922898102,199.4,201.2,71.6,78.8,True,
20250522-101214,5,95.472,3198.0,120.546,74.97239445709947,7782,1.22,1.07,0.77,0.47494305239179957,0.6215801010420287,0.1791951404707669,199.4,203.0,73.4,78.8,True,
20250522-101214,6,95.152,3198.0,122.41,75.23331159420289,7658,1.26,1.09,0.7,0.492372234935164,0.6316988697295549,0.1853546910755149,199.4,203.0,73.4,78.8,True,
20250522-101214,7,95.586,3197.9999999999995,120.546,74.57607502841985,7780,1.33,1.1,0.66,0.4240242516104585,0.587177268351855,0.19173929518757105,201.2,204.8,73.4,80.6,True,
20250522-101214,8,94.5,3198.0,122.41,75.85382965779468,7870,1.19,1.0,0.66,0.46844106463878327,0.6112950514664351,0.19467680608365018,201.2,203.0,73.4,78.8,True,
20250522-101214,9,103.209,3198.0,119.303,68.7171044034091,7146,1.15,0.91,0.5,0.06214488636363636,0.36830830008839893,0.1942471590909091,199.4,203.0,75.2,80.6,True,
20250522-101214,10,156.308,3197.9999999999995,86.992,42.10526679192109,5889,0.98,0.48,1.0,0.018788163457022077,0.22404107933971984,0.15664631282292155,194.0,199.4,75.2,86.0,False,cooldown
