session_id,lap,lap_time_s,lap_dist_m,max_speed_mph,avg_speed_mph,max_rpm,max_lat_g,max_accel_g,max_decel_g,pct_wot,avg_throttle,pct_braking,coolant_min_f,coolant_max_f,iat_min_f,iat_max_f,is_clean,clean_reason
20251018-105948,0,102.83,3962.0,67.729,7.441867586721373,7578,0.27,0.43,0.19,0.0,0.16251943178464773,0.5244311823946288,192.2,204.8,87.8,123.8,False,warmup
20251018-105948,1,130.508,3962.0000000000005,108.119,67.47888572242805,7822,1.26,0.43,1.13,0.27871188372755773,0.5159531552849592,0.2140210886292391,186.8,194.0,64.4,89.6,True,
20251018-105948,2,123.207,3962.0,123.653,71.57038756414126,7965,1.41,0.44,1.13,0.3576818593419861,0.566644506871118,0.23996377905221852,192.2,201.2,62.6,73.4,True,
20251018-105948,3,121.52,3962.0,124.896,72.58539799025579,8025,1.43,0.45,1.01,0.4007308160779537,0.586499258045229,0.2384287454323995,199.4,208.4,62.6,69.8,True,
20251018-105948,4,121.71,3962.0,125.517,72.21372710622711,7969,1.42,0.47,1.11,0.3998778998778999,0.5805531432125188,0.23076923076923078,204.8,212.0,62.6,69.8,True,
20251018-105948,5,127.184,3962.0,124.274,68.90972457873329,7590,1.42,0.42,0.99,0.18651946542707729,0.4501632140643255,0.22748402091807088,208.4,215.6,62.6,69.8,True,
20251018-105948,6,147.084,3962.0,110.604,59.88508488196886,7812,1.12,0.41,0.67,0.07885484681064792,0.32464810044850095,0.15469613259668508,206.6,215.6,64.4,69.8,True,
20251018-105948,7,125.029,3962.0,123.032,70.56474845178414,7812,1.34,0.46,0.89,0.3128870539663816,0.5307673078991308,0.23532881156001179,206.6,213.8,62.6,69.8,True,
20251018-105948,8,130.5,3962.0000000000005,122.41,67.39971412492966,7897,1.28,0.43,0.96,0.23522791221159256,0.46186079163261096,0.22763083849184018,210.2,217.4,62.6,69.8,True,
20251018-105948,9,189.999,3961.9999999999995,105.012,43.36001562805236,7437,1.32,0.38,0.59,0.0,0.23438901130452883,0.17171322523930455,213.8,219.2,64.4,78.8,False,cooldown
